city,date,fare,ride_id
Lake Jeffreyland,5/29/16 13:39,16,9150000000000
West Dawnfurt,1/3/16 11:35,6.69,7460000000000
Alyssaberg,5/9/16 1:35,17.56,2800000000000
Eriktown,2/27/16 23:17,20.3,154000000000
West Jefferyfurt,11/22/16 21:50,11.74,3340000000000
South Louis,4/20/16 15:42,27.26,7920000000000
East Douglas,10/19/16 20:25,28.18,6200000000000
West Brittanyton,5/22/16 5:49,25.1,9600000000000
Smithhaven,3/27/16 9:25,21.18,106000000000
Port Josephfurt,10/26/16 9:01,9.48,8360000000000
Edwardsbury,7/15/16 15:36,12.65,3070000000000
Prattfurt,7/14/16 14:58,7.22,3430000000000
Port Johnstad,5/26/16 5:12,40.24,2900000000000
South Bryanstad,7/27/16 16:58,38.3,258000000000
Arnoldview,7/12/16 4:33,30.88,565000000000
New Andreamouth,1/2/16 2:30,18.51,4480000000000
Arnoldview,1/12/16 1:10,35.07,9030000000000
West Dawnfurt,9/25/16 16:35,22.28,9240000000000
Prattfurt,7/5/16 13:53,35.82,5590000000000
Smithhaven,9/26/16 10:18,33.45,8540000000000
Lisaville,3/12/16 13:26,10.61,6540000000000
Eriktown,3/8/16 5:38,16.34,4820000000000
New Andreamouth,11/28/16 1:14,33.11,232000000000
West Alexis,9/3/16 2:23,22.86,8390000000000
Maryside,7/20/16 1:03,14.07,987000000000
West Alexis,6/28/16 16:34,12.92,5990000000000
Sarabury,7/25/16 10:44,17.73,4470000000000
Vickimouth,5/5/16 21:32,4.54,2440000000000
Alyssaberg,2/7/16 5:19,23.44,2980000000000
Smithhaven,3/31/16 1:06,32.58,7970000000000
New Christine,2/22/16 12:18,25.21,9930000000000
West Oscar,9/22/16 23:20,23.34,9220000000000
Alyssaberg,7/20/16 22:47,8.73,2800000000000
Davistown,4/10/16 11:11,4.36,74296958741
Prattfurt,11/18/16 17:37,5.1,9080000000000
New Jeffrey,3/20/16 0:51,38.49,1580000000000
New David,10/20/16 18:30,5.48,5200000000000
South Bryanstad,5/16/16 15:36,9.15,5130000000000
South Roy,4/14/16 3:24,9.77,664000000000
Jacobfort,7/20/16 15:44,21.57,8210000000000
Stewartview,1/30/16 4:01,6.28,1190000000000
New Jeffrey,5/17/16 8:07,21.4,644000000000
Davidtown,10/13/16 23:41,10.56,2830000000000
Arnoldview,11/18/16 12:47,4.92,8530000000000
Swansonbury,10/14/16 12:46,30.17,8690000000000
New David,9/11/16 15:12,22.16,2630000000000
Port Samantha,3/3/16 8:04,11.95,9680000000000
Port Johnstad,9/29/16 11:48,35.67,9850000000000
Nguyenbury,5/12/16 15:57,41.63,225000000000
Sarabury,6/22/16 16:24,23.94,6150000000000
Torresshire,11/27/16 18:13,16.04,7450000000000
Lake Jeffreyland,2/29/16 19:08,41.18,593000000000
Stewartview,2/3/16 7:47,14.78,8860000000000
Russellport,9/18/16 11:54,23.41,3920000000000
Smithhaven,4/16/16 11:09,7.43,5770000000000
Lake Sarashire,8/25/16 4:25,4.27,6740000000000
Wiseborough,2/23/16 2:21,4.06,5770000000000
Lake Sarashire,7/28/16 11:27,40.77,489000000000
New Jeffrey,7/1/16 22:39,34.02,3640000000000
Lisaville,3/14/16 19:58,36.95,6370000000000
Alvarezhaven,8/18/16 7:12,20.74,357000000000
Carrollfort,10/9/16 8:58,4.56,954000000000
Carrollfort,8/24/16 5:23,44.26,2310000000000
Kelseyland,8/9/16 18:19,17.91,8780000000000
Swansonbury,4/3/16 23:58,36.5,3850000000000
New Maryport,3/16/16 5:00,38.55,1520000000000
Port Johnstad,10/14/16 10:57,19.6,2810000000000
Zimmermanmouth,9/19/16 2:40,16.21,4970000000000
East Douglas,9/19/16 9:23,34.17,8610000000000
Kelseyland,10/24/16 15:15,33.56,4800000000000
Travisville,3/29/16 11:14,12.26,2810000000000
Mooreview,8/28/16 8:58,16.54,4560000000000
Alyssaberg,11/25/16 17:30,25.27,2040000000000
Williamshire,10/1/16 15:14,10.67,9930000000000
East Erin,2/15/16 16:23,40.94,8040000000000
Sarabury,1/27/16 17:46,16.39,8220000000000
Williamshire,1/12/16 4:22,35.94,7080000000000
Antoniomouth,3/5/16 2:55,19.91,645000000000
West Sydneyhaven,4/8/16 1:17,20.06,4860000000000
Sandymouth,3/7/16 23:43,5.72,7960000000000
Torresshire,11/16/16 9:35,17.84,9440000000000
Kelseyland,6/6/16 13:54,20.81,9810000000000
Stewartview,2/11/16 13:11,35.86,7770000000000
Pamelahaven,9/29/16 11:08,12.82,2550000000000
West Brandy,2/3/16 20:21,35.59,6780000000000
West Jefferyfurt,2/9/16 5:04,22.54,863000000000
East Erin,6/3/16 19:16,7.84,7260000000000
Spencertown,5/24/16 21:33,31.76,8580000000000
Alyssaberg,9/9/16 14:29,25.85,1040000000000
Lake Jeffreyland,5/24/16 7:38,10.99,9240000000000
South Roy,7/6/16 7:37,21.04,900000000000
East Erin,7/1/16 20:56,19.79,6310000000000
Lisatown,11/29/16 5:03,25.37,8790000000000
East Douglas,2/10/16 3:30,33.08,3360000000000
Jacobfort,5/27/16 12:40,38.52,3060000000000
South Bryanstad,11/30/16 8:27,19.24,9280000000000
Mooreview,11/29/16 5:43,32.91,2690000000000
Lake Stevenbury,1/11/16 19:57,41.05,5280000000000
Vickimouth,12/2/16 5:12,36.72,2880000000000
East Douglas,8/21/16 22:32,7.9,4790000000000
South Louis,8/5/16 11:29,28.07,1490000000000
Torresshire,6/5/16 15:15,29.85,1540000000000
Spencertown,2/12/16 21:25,30.82,8230000000000
West Dawnfurt,5/21/16 23:19,14.49,6410000000000
Rodriguezburgh,4/24/16 3:23,18.91,9060000000000
New Jeffrey,9/28/16 6:19,18.42,2260000000000
Kellershire,11/8/16 4:54,6.21,9860000000000
Spencertown,2/7/16 12:18,44.67,6140000000000
West Oscar,5/27/16 0:31,11.18,2380000000000
West Oscar,1/18/16 23:15,23.67,9040000000000
Kellershire,11/9/16 16:14,11.52,6540000000000
Jacobfort,11/15/16 14:39,10.12,2620000000000
Arnoldview,6/30/16 21:18,36.65,1730000000000
West Alexis,3/1/16 5:36,25.93,984000000000
South Josephville,10/6/16 3:53,28.19,2600000000000
New Christine,5/29/16 15:42,14.9,3590000000000
South Louis,9/11/16 16:28,22.08,7450000000000
Williamshire,7/5/16 10:54,28.32,5680000000000
East Douglas,11/14/16 13:10,22.83,4920000000000
Yolandafurt,2/28/16 11:02,36,6310000000000
Lake Sarashire,3/17/16 11:47,16.67,1790000000000
Torresshire,10/2/16 1:20,5.45,7860000000000
New Maryport,2/7/16 16:58,21.94,1130000000000
West Oscar,8/19/16 15:24,26.3,1570000000000
Kimberlychester,8/17/16 13:49,39.29,7660000000000
Williamshire,1/19/16 13:24,28.73,3630000000000
Kimberlychester,1/13/16 1:17,41.06,3470000000000
Prattfurt,1/22/16 8:38,12.49,8750000000000
Zimmermanmouth,7/23/16 19:20,28.89,1530000000000
Zimmermanmouth,5/4/16 18:32,20.96,6490000000000
Lake Jeffreyland,8/3/16 19:10,37.24,7170000000000
New Andreamouth,1/10/16 16:33,41.15,8730000000000
Lake Jennaton,12/2/16 20:30,7.37,4330000000000
Antoniomouth,8/27/16 6:53,33.31,6660000000000
New David,10/15/16 12:01,25.55,5570000000000
Antoniomouth,8/19/16 14:45,20.67,5230000000000
Smithhaven,6/23/16 8:23,15.18,8200000000000
Edwardsbury,8/3/16 22:39,19.85,3680000000000
Jacobfort,8/8/16 12:21,16.87,2840000000000
Williamshire,10/12/16 20:05,43.59,5750000000000
Torresshire,1/21/16 6:22,13.88,3850000000000
Maryside,1/22/16 17:16,17,3250000000000
West Oscar,8/16/16 3:32,9.08,3870000000000
South Josephville,3/11/16 23:05,29.12,7480000000000
Lake Stevenbury,5/1/16 21:55,15.75,7030000000000
Jacobfort,7/19/16 22:19,20.36,3070000000000
Port Samantha,10/5/16 2:16,6.99,3730000000000
South Louis,10/11/16 0:43,4.54,3590000000000
Port Samantha,3/7/16 7:34,39.5,3550000000000
South Josephville,3/24/16 18:38,13.73,1490000000000
Alvarezhaven,4/4/16 23:45,14.25,6430000000000
West Peter,4/12/16 16:00,7.51,7110000000000
Kimberlychester,10/22/16 2:54,19.07,6700000000000
Lake Jeffreyland,5/15/16 14:22,17.85,8500000000000
West Brittanyton,1/16/16 22:15,37.64,8410000000000
West Oscar,5/27/16 18:18,11.4,5320000000000
Lisatown,7/10/16 3:14,40.36,1800000000000
South Josephville,8/28/16 4:52,38.51,4250000000000
Kelseyland,8/10/16 7:02,44.53,1560000000000
Arnoldview,9/18/16 10:09,37.37,2400000000000
Stewartview,1/1/16 9:25,6.83,7890000000000
Sarabury,4/26/16 11:31,21.8,5970000000000
Spencertown,3/28/16 6:14,42.67,1240000000000
Yolandafurt,11/20/16 11:01,24.95,3740000000000
Eriktown,6/24/16 6:41,40.41,24231019266
Torresshire,9/20/16 12:58,8.31,3850000000000
South Roy,1/29/16 17:29,18.61,5080000000000
Rodriguezburgh,2/28/16 23:49,9.86,1780000000000
Aprilchester,2/20/16 19:30,27.84,3700000000000
Alvarezhaven,10/31/16 5:33,20.23,4350000000000
Pamelahaven,9/21/16 3:18,13.95,8120000000000
Fosterside,11/7/16 0:00,17.92,7420000000000
East Douglas,9/29/16 14:23,21.49,9990000000000
Mooreview,8/29/16 3:50,16.43,2390000000000
Carrollfort,1/24/16 13:10,7.15,4140000000000
South Louis,10/29/16 18:46,30.73,3070000000000
New Jeffrey,6/6/16 14:29,34.35,722000000000
Swansonbury,10/20/16 2:30,11.29,5300000000000
Mooreview,5/6/16 2:19,38.1,9850000000000
Lake Jennaton,10/17/16 9:44,16.98,8340000000000
Davidtown,7/3/16 17:33,17.6,9780000000000
East Erin,8/7/16 6:28,12.56,3380000000000
Rodriguezburgh,5/30/16 18:12,14.51,8430000000000
Mooreview,6/19/16 7:05,39.02,4560000000000
Spencertown,7/23/16 0:02,7.74,8390000000000
Williamshire,4/21/16 20:53,12.62,8430000000000
New Aaron,8/12/16 22:11,12.53,7860000000000
Vickimouth,4/27/16 9:28,31.47,172000000000
Arnoldview,5/17/16 16:41,17.7,5260000000000
Kimberlychester,3/19/16 22:17,10.33,3840000000000
Lisatown,11/13/16 9:11,16.36,5300000000000
South Roy,6/3/16 17:48,43.5,5320000000000
Davistown,2/9/16 6:40,29.58,6520000000000
Torresshire,6/7/16 11:48,23.86,3000000000000
Antoniomouth,5/2/16 17:52,8.43,4180000000000
Lisatown,1/7/16 9:55,18.64,5460000000000
Lisatown,5/19/16 12:41,20.22,4070000000000
Port Johnstad,11/6/16 21:03,10.58,8040000000000
Davidtown,10/18/16 12:27,14.48,8270000000000
Travisville,10/28/16 9:02,35.69,6800000000000
Sandymouth,4/10/16 14:31,5.42,4360000000000
Swansonbury,9/24/16 8:14,13.77,3910000000000
West Brandy,6/22/16 20:17,26.96,9890000000000
West Brandy,10/19/16 14:01,27.77,9200000000000
Alyssaberg,5/27/16 5:36,21.59,6750000000000
West Oscar,6/28/16 2:11,25.68,616000000000
Edwardsbury,6/8/16 9:17,39.28,4320000000000
Swansonbury,3/12/16 15:20,38.41,2210000000000
Alyssaberg,7/7/16 1:18,7.18,622000000000
Kelseyland,7/5/16 17:37,29.02,6900000000000
Smithhaven,5/16/16 10:13,5.39,9850000000000
Arnoldview,4/8/16 4:59,6.7,2430000000000
Jacobfort,10/20/16 15:51,21.31,117000000000
Lisatown,4/16/16 11:51,44.98,410000000000
New Christine,6/30/16 4:33,17.33,726000000000
Sandymouth,8/21/16 1:56,35.97,1980000000000
Sandymouth,6/27/16 13:58,38.59,1270000000000
Sandymouth,7/1/16 0:43,37.75,8240000000000
South Roy,8/23/16 8:57,6.73,183000000000
Zimmermanmouth,2/11/16 19:07,14.5,7550000000000
Swansonbury,7/25/16 14:20,29.38,6200000000000
Arnoldview,3/23/16 6:59,21.61,590000000000
Kimberlychester,7/21/16 14:54,23.55,9280000000000
South Bryanstad,10/18/16 9:58,22.27,7390000000000
Edwardsbury,7/5/16 10:59,42.67,6070000000000
East Erin,9/25/16 7:45,27.75,9260000000000
Davistown,1/26/16 20:57,18.24,4210000000000
Lisaville,7/1/16 3:28,29.41,6430000000000
Sandymouth,5/3/16 0:51,30.58,5310000000000
Lake Jennaton,4/17/16 2:48,30.98,4130000000000
Smithhaven,9/22/16 0:49,22.51,1160000000000
West Brandy,6/2/16 16:31,6.82,6190000000000
Carrollfort,4/10/16 7:24,18.01,2940000000000
South Louis,2/25/16 14:35,39.4,8090000000000
Maryside,9/13/16 14:45,37.61,1480000000000
Davistown,7/23/16 22:14,24.76,6220000000000
Kimberlychester,10/24/16 16:48,4.49,3690000000000
Stewartview,2/28/16 4:05,13.46,4420000000000
West Brittanyton,5/6/16 20:52,30.02,346000000000
Lake Stevenbury,1/5/16 10:15,8.47,1250000000000
New David,2/28/16 1:45,31.83,9640000000000
Williamshire,2/14/16 9:59,12.44,5620000000000
West Brittanyton,11/10/16 7:06,4.13,8150000000000
Zimmermanmouth,5/25/16 14:46,41.96,5200000000000
Antoniomouth,10/22/16 1:49,6.05,1700000000000
Travisville,6/17/16 9:02,19.79,602000000000
West Dawnfurt,10/18/16 2:10,43.77,1010000000000
Kelseyland,4/25/16 2:18,20.05,1150000000000
Russellport,7/11/16 8:01,37.34,9630000000000
Sandymouth,11/24/16 10:24,41.22,2820000000000
West Jefferyfurt,1/24/16 2:50,33.17,7510000000000
West Brandy,7/5/16 4:36,13.56,7150000000000
Prattfurt,1/21/16 22:17,35.32,2850000000000
Lisaville,3/15/16 2:55,18.78,7910000000000
West Dawnfurt,10/15/16 6:23,8.69,3820000000000
Aprilchester,10/4/16 14:22,19.92,6790000000000
Jacobfort,9/18/16 4:50,9.6,7250000000000
Prattfurt,2/1/16 18:49,34.91,1850000000000
West Peter,7/12/16 3:26,19.03,6600000000000
East Erin,1/16/16 18:15,11.35,1250000000000
Travisville,5/28/16 0:34,36.69,895000000000
Jacobfort,10/9/16 19:57,31.35,8010000000000
Lake Sarashire,4/26/16 18:05,9.02,7690000000000
Nguyenbury,4/7/16 6:59,19.01,4650000000000
Kellershire,6/25/16 6:44,26.28,9320000000000
Lake Stevenbury,3/5/16 14:09,27.68,716000000000
Lake Sarashire,7/9/16 5:23,21.92,1010000000000
West Jefferyfurt,9/8/16 5:29,20.41,741000000000
Wiseborough,7/1/16 3:59,8.28,1130000000000
Spencertown,3/4/16 7:28,44.15,2930000000000
Carrollfort,11/29/16 19:04,23.59,9660000000000
Jacobfort,11/18/16 16:19,37.31,6740000000000
Wiseborough,11/26/16 17:24,7.42,6770000000000
Jacobfort,11/10/16 5:11,22.1,3640000000000
New Andreamouth,11/5/16 2:09,41.26,6730000000000
Alyssaberg,10/28/16 0:13,40.47,7110000000000
Williamshire,11/15/16 2:03,26.79,6860000000000
New Christine,3/1/16 6:47,35.53,811000000000
Smithhaven,1/11/16 5:46,21.67,2620000000000
Port Samantha,8/7/16 7:06,40.96,1480000000000
New Aaron,10/11/16 2:49,13.03,6750000000000
Nguyenbury,8/7/16 23:33,32.21,3310000000000
Sarabury,8/14/16 19:56,7.83,4980000000000
Swansonbury,11/22/16 10:34,33.17,4970000000000
Kelseyland,1/25/16 8:47,9.29,214000000000
West Dawnfurt,3/30/16 2:38,43.05,8270000000000
Swansonbury,10/9/16 4:32,42.58,495000000000
Port Samantha,6/15/16 20:23,29.34,7030000000000
Lake Stevenbury,3/11/16 0:39,17.65,5220000000000
Carrollfort,1/13/16 0:26,44.75,517000000000
New Maryport,9/13/16 9:09,40.93,4390000000000
Swansonbury,9/10/16 13:14,28.62,4570000000000
Nguyenbury,9/20/16 10:38,42.5,8780000000000
East Erin,9/28/16 7:41,33.5,825000000000
Alyssaberg,7/21/16 13:43,18.02,5820000000000
West Peter,8/1/16 23:45,19.16,2870000000000
Alvarezhaven,5/26/16 11:36,39.28,8880000000000
Travisville,8/6/16 13:51,9.49,355000000000
Stewartview,4/8/16 9:00,17.49,2600000000000
Wiseborough,4/16/16 2:07,20.76,524000000000
Zimmermanmouth,8/9/16 4:35,26.63,2330000000000
Spencertown,1/5/16 3:19,34.86,6290000000000
West Brittanyton,8/9/16 7:46,19.17,5490000000000
Torresshire,3/10/16 9:11,16.7,2990000000000
Wiseborough,2/20/16 5:53,43.92,7950000000000
Travisville,10/11/16 1:02,43.96,1080000000000
Kimberlychester,7/26/16 1:07,30.08,832000000000
Russellport,1/4/16 8:24,26.01,1080000000000
Lake Stevenbury,8/24/16 13:41,20.71,5040000000000
South Josephville,8/31/16 4:27,32.65,2480000000000
Jacobfort,1/5/16 15:34,7.75,25236397335
New David,11/28/16 0:01,25.8,6930000000000
New Aaron,1/2/16 17:29,16.77,8110000000000
Antoniomouth,11/4/16 11:06,14.44,9930000000000
Davistown,4/29/16 11:46,8.47,5950000000000
West Brandy,11/10/16 17:40,10.13,6870000000000
Port Johnstad,2/25/16 7:35,9.95,5090000000000
Rodriguezburgh,7/16/16 10:59,21.65,8520000000000
Aprilchester,8/6/16 7:30,14.91,3700000000000
Port Josephfurt,5/2/16 20:00,27.3,2510000000000
Mooreview,8/5/16 13:20,38.45,5760000000000
Nguyenbury,2/28/16 6:07,8.41,8580000000000
Lake Sarashire,10/28/16 1:03,38.64,64134810300
West Brandy,1/18/16 8:05,40.96,3840000000000
Smithhaven,1/12/16 8:42,25.23,9740000000000
Zimmermanmouth,8/12/16 2:53,34.84,7180000000000
South Josephville,3/13/16 6:50,19.84,709000000000
Port Josephfurt,9/13/16 21:50,38.27,1420000000000
Maryside,1/14/16 17:40,21.34,6990000000000
Sarabury,1/6/16 3:02,5.19,9990000000000
Port Johnstad,10/2/16 2:55,39.86,1210000000000
